#event 0
#MCTrue: theta, phi, x, y, z
1.1435618678 5.33877173879 -2819494.97221 3896711.38741 -2189403.10881
#Reco: theta, phi, x, y, z
1.90010724428 6.10650216788 -299.257255945 493.953591205 59.7585391079
#string, om, x, y, z, time, charge
61 27 -313.600006104 237.440002441 58.6599998474 11461.0 1.27499997616
61 30 -313.600006104 237.440002441 7.59000015259 12029.0 0.425000011921
62 32 -189.979995728 257.420013428 -26.2900009155 12437.0 0.625
68 27 -392.380004883 334.239990234 60.2599983215 11482.0 4.4999999404
68 28 -392.380004883 334.239990234 43.2299995422 11167.0 0.324999988079
68 29 -392.380004883 334.239990234 26.2099990845 10571.0 1.125
68 30 -392.380004883 334.239990234 9.18999958038 11312.0 0.574999988079
68 31 -392.380004883 334.239990234 -7.82999992371 11197.0 1.02499997616
69 21 -268.899993896 354.239990234 161.119995117 11391.0 0.625
69 22 -268.899993896 354.239990234 144.100006104 10865.0 1.25
69 26 -268.899993896 354.239990234 76.0199966431 11416.0 0.22499999404
69 28 -268.899993896 354.239990234 41.9700012207 10941.0 9.07500004768
69 29 -268.899993896 354.239990234 24.9500007629 10873.0 3.14999994636
69 30 -268.899993896 354.239990234 7.92999982834 10845.0 1.92499995232
70 20 -145.449996948 374.239990234 178.690002441 13442.0 0.675000011921
70 26 -145.449996948 374.239990234 76.5699996948 11140.0 2.2500000596
70 27 -145.449996948 374.239990234 59.5499992371 11206.0 2.04999995232
70 28 -145.449996948 374.239990234 42.5299987793 11938.0 1.47500002384
70 29 -145.449996948 374.239990234 25.5 11947.0 2.62500008941
71 29 -21.9699993134 393.239990234 23.2299995422 11810.0 1.02499997616
75 15 -347.880004883 451.519989014 263.709991455 11409.0 1.17499995232
75 16 -347.880004883 451.519989014 246.690002441 11219.0 0.375
75 17 -347.880004883 451.519989014 229.669998169 11807.0 1.125
75 18 -347.880004883 451.519989014 212.649993896 10944.0 5.125
75 19 -347.880004883 451.519989014 195.630004883 10600.0 2.875
75 20 -347.880004883 451.519989014 178.61000061 10659.0 3.94999998808
75 21 -347.880004883 451.519989014 161.589996338 10260.0 9.32500004768
75 22 -347.880004883 451.519989014 144.570007324 10285.0 14.1750000268
75 23 -347.880004883 451.519989014 127.550003052 10125.0 15.9999999404
75 24 -347.880004883 451.519989014 110.529998779 10157.0 17.6249998659
75 25 -347.880004883 451.519989014 93.5100021362 9953.0 23.0000000596
75 26 -347.880004883 451.519989014 76.4899978638 9960.0 35.500000149
75 27 -347.880004883 451.519989014 59.4700012207 9902.0 73.2500000298
75 28 -347.880004883 451.519989014 42.4399986267 9934.0 67.9500005394
75 29 -347.880004883 451.519989014 25.4200000763 9984.0 66.025000155
75 30 -347.880004883 451.519989014 8.39999961853 9891.0 57.6499998122
75 31 -347.880004883 451.519989014 -8.61999988556 10126.0 36.0249997675
75 32 -347.880004883 451.519989014 -25.6399993896 10225.0 11.0749999732
75 33 -347.880004883 451.519989014 -42.6599998474 10891.0 2.89999997616
75 34 -347.880004883 451.519989014 -59.6800003052 10972.0 1.07500004768
75 35 -347.880004883 451.519989014 -76.6999969482 12001.0 1.125
76 16 -224.089996338 470.859985352 247.11000061 10709.0 1.40000000596
76 17 -224.089996338 470.859985352 230.089996338 10523.0 3.7499999404
76 18 -224.089996338 470.859985352 213.070007324 10881.0 1.40000003576
76 19 -224.089996338 470.859985352 196.050003052 10725.0 3.17499995232
76 20 -224.089996338 470.859985352 179.029998779 10676.0 3.40000009537
76 21 -224.089996338 470.859985352 162.009994507 10785.0 4.75
76 22 -224.089996338 470.859985352 144.990005493 10338.0 9.2500000596
76 23 -224.089996338 470.859985352 127.970001221 10179.0 13.2750001252
76 24 -224.089996338 470.859985352 110.949996948 10241.0 7.80000010133
76 25 -224.089996338 470.859985352 93.9300003052 10085.0 16.7249998748
76 26 -224.089996338 470.859985352 76.9100036621 10182.0 21.6250000298
