#event 0
#MCTrue: theta, phi, x, y, z
1.31030444521 3.54915337248 2919333.76769 1261011.03988 -847973.317626
#Reco: theta, phi, x, y, z
1.31371385527 3.59966979491 -280.499130461 470.993535829 -319.072015453
#string, om, x, y, z, time, charge
53 42 -234.949996948 140.440002441 -197.789993286 13213.0 0.425000011921
53 50 -234.949996948 140.440002441 -333.950012207 12485.0 0.375
60 39 -437.040008545 217.800003052 -145.320007324 12366.0 1.125
60 42 -437.040008545 217.800003052 -196.38999939 12938.0 1.40000003576
60 48 -437.040008545 217.800003052 -298.510009766 11914.0 1.02499997616
61 51 -313.600006104 237.440002441 -349.839996338 12044.0 0.574999988079
62 49 -189.979995728 257.420013428 -315.640014648 11984.0 0.27500000596
62 54 -189.979995728 257.420013428 -400.75 11332.0 0.425000011921
63 52 -66.6999969482 276.920013428 -370.230010986 11192.0 0.524999976158
63 54 -66.6999969482 276.920013428 -404.279998779 12002.0 1.22500002384
64 50 54.2599983215 292.970001221 -309.459991455 12698.0 0.574999988079
68 41 -392.380004883 334.239990234 -178.039993286 11813.0 0.425000011921
68 43 -392.380004883 334.239990234 -212.080001831 11893.0 2.15000003576
68 44 -392.380004883 334.239990234 -229.100006104 11477.0 1.52499997616
68 45 -392.380004883 334.239990234 -246.119995117 11509.0 1.75
68 46 -392.380004883 334.239990234 -263.140014648 11453.0 2.07499998808
68 47 -392.380004883 334.239990234 -280.160003662 11471.0 5.625
68 48 -392.380004883 334.239990234 -297.179992676 11636.0 1.15000000596
68 49 -392.380004883 334.239990234 -314.200012207 12247.0 1.42499995232
68 50 -392.380004883 334.239990234 -331.220001221 11689.0 0.925000011921
68 51 -392.380004883 334.239990234 -348.239990234 11843.0 4.02499997616
68 53 -392.380004883 334.239990234 -382.279998779 11090.0 2.22499993443
68 55 -392.380004883 334.239990234 -416.329986572 12753.0 0.774999976158
68 57 -392.380004883 334.239990234 -450.369995117 12074.0 0.675000011921
69 43 -268.899993896 354.239990234 -213.339996338 11620.0 0.524999976158
69 45 -268.899993896 354.239990234 -247.380004883 10967.0 1.35000002384
69 46 -268.899993896 354.239990234 -264.399993896 11101.0 3.3750000596
69 50 -268.899993896 354.239990234 -332.480010986 10710.0 1.9999999404
69 51 -268.899993896 354.239990234 -349.5 10878.0 3.94999995828
69 52 -268.899993896 354.239990234 -366.519989014 10699.0 3.22500002384
69 54 -268.899993896 354.239990234 -400.570007324 11388.0 0.524999976158
69 55 -268.899993896 354.239990234 -417.589996338 10960.0 0.47499999404
70 42 -145.449996948 374.239990234 -195.770004272 11774.0 1.125
70 45 -145.449996948 374.239990234 -246.830001831 11431.0 0.27500000596
70 46 -145.449996948 374.239990234 -263.850006104 10831.0 2.10000002384
70 47 -145.449996948 374.239990234 -280.869995117 11024.0 0.675000011921
70 48 -145.449996948 374.239990234 -297.890014648 11175.0 2.30000007153
70 49 -145.449996948 374.239990234 -314.910003662 11203.0 1.625
70 50 -145.449996948 374.239990234 -331.929992676 11240.0 0.524999976158
70 51 -145.449996948 374.239990234 -348.950012207 10873.0 0.725000023842
70 53 -145.449996948 374.239990234 -382.989990234 11304.0 1.32500004768
70 56 -145.449996948 374.239990234 -434.059997559 10814.0 1.125
71 47 -21.9699993134 393.239990234 -283.140014648 12191.0 1.47500002384
71 48 -21.9699993134 393.239990234 -300.160003662 12517.0 1.07500004768
71 56 -21.9699993134 393.239990234 -436.329986572 11041.0 1.17499995232
72 45 101.040000916 412.790008545 -244.5 12121.0 1.22500002384
72 56 101.040000916 412.790008545 -431.730010986 10612.0 0.824999988079
75 41 -347.880004883 451.519989014 -178.830001831 10974.0 0.22499999404
75 43 -347.880004883 451.519989014 -212.869995117 10877.0 7.04999998212
75 44 -347.880004883 451.519989014 -229.88999939 10652.0 4.52500003576
75 45 -347.880004883 451.519989014 -246.910003662 10535.0 8.19999998808
75 46 -347.880004883 451.519989014 -263.929992676 10460.0 17.8499999791
75 47 -347.880004883 451.519989014 -280.950012207 10410.0 24.6250002086
75 48 -347.880004883 451.519989014 -297.970001221 10383.0 19.474999994
75 49 -347.880004883 451.519989014 -314.989990234 10378.0 21.549999997
75 50 -347.880004883 451.519989014 -332.010009766 10378.0 18.3750000298
75 51 -347.880004883 451.519989014 -349.029998779 10424.0 10.650000155
75 52 -347.880004883 451.519989014 -366.049987793 10477.0 13.1499998868
75 53 -347.880004883 451.519989014 -383.070007324 10662.0 1.80000001192
76 39 -224.089996338 470.859985352 -144.36000061 11176.0 1.22500002384
76 40 -224.089996338 470.859985352 -161.380004883 11051.0 0.725000023842
76 41 -224.089996338 470.859985352 -178.410003662 12022.0 0.774999976158
76 42 -224.089996338 470.859985352 -195.429992676 10966.0 0.774999976158
76 43 -224.089996338 470.859985352 -212.449996948 11182.0 0.675000011921
76 44 -224.089996338 470.859985352 -229.470001221 10496.0 5.45000001788
76 45 -224.089996338 470.859985352 -246.490005493 10486.0 1.57500001788
76 46 -224.089996338 470.859985352 -263.510009766 10266.0 9.95000004768
76 47 -224.089996338 470.859985352 -280.529998779 10186.0 17.4999998808
76 48 -224.089996338 470.859985352 -297.549987793 10138.0 22.8250000179
76 49 -224.089996338 470.859985352 -314.570007324 10097.0 26.750000298
76 50 -224.089996338 470.859985352 -331.589996338 10082.0 25.7249998152
76 51 -224.089996338 470.859985352 -348.609985352 10060.0 24.9499998838
76 52 -224.089996338 470.859985352 -365.630004883 10106.0 12.8500001132
76 53 -224.089996338 470.859985352 -382.649993896 10119.0 10.4250000417
76 54 -224.089996338 470.859985352 -399.679992676 10255.0 6.12499988079
76 55 -224.089996338 470.859985352 -416.700012207 10463.0 1.8750000298
76 56 -224.089996338 470.859985352 -433.720001221 10382.0 2.30000004172
77 43 -101.059997559 490.220001221 -213.38999939 10792.0 0.574999988079
77 46 -101.059997559 490.220001221 -264.450012207 10286.0 3.22499999404
77 47 -101.059997559 490.220001221 -281.470001221 10447.0 2.92499992251
77 48 -101.059997559 490.220001221 -298.489990234 9903.0 0.324999988079
77 49 -101.059997559 490.220001221 -315.510009766 9937.0 1.17499995232
77 50 -101.059997559 490.220001221 -332.529998779 9946.0 2.64999997616
77 51 -101.059997559 490.220001221 -349.549987793 9908.0 5.82500001788
77 52 -101.059997559 490.220001221 -366.570007324 10058.0 1.27499997616
77 53 -101.059997559 490.220001221 -383.589996338 10211.0 3.02500003576
77 54 -101.059997559 490.220001221 -400.609985352 10635.0 1.375
77 55 -101.059997559 490.220001221 -417.640014648 10581.0 2.35000002384
77 57 -101.059997559 490.220001221 -451.679992676 10170.0 1.25
77 58 -101.059997559 490.220001221 -468.700012207 9977.0 0.774999976158
77 59 -101.059997559 490.220001221 -485.720001221 10354.0 0.675000011921
78 43 22.1100006104 509.5 -210.210006714 10556.0 0.774999976158
78 49 22.1100006104 509.5 -312.329986572 10360.0 0.375
78 50 22.1100006104 509.5 -329.350006104 9867.0 1.625
78 51 22.1100006104 509.5 -346.369995117 9981.0 1.125
78 53 22.1100006104 509.5 -380.410003662 10289.0 2.05000001192
78 54 22.1100006104 509.5 -397.440002441 10830.0 1.02499997616
78 55 22.1100006104 509.5 -414.459991455 9958.0 2.52500006557
78 59 22.1100006104 509.5 -482.540008545 10043.0 0.824999988079
#event 1
#MCTrue: theta, phi, x, y, z
2.76396564223 1.01007335767 -363.514765046 -655.741698719 1947.95590458
#Reco: theta, phi, x, y, z
2.77430287331 5.38809283036 155.337511795 29.588571664 -421.263051579
#string, om, x, y, z, time, charge
3 47 -9.13000011444 -481.739990234 -283.720001221 14200.0 0.47499999404
3 58 -9.13000011444 -481.739990234 -470.950012207 14462.0 1.375
4 52 114.38999939 -461.989990234 -369.390014648 14524.0 0.774999976158
4 55 114.38999939 -461.989990234 -420.459991455 15045.0 1.22500002384
4 56 114.38999939 -461.989990234 -437.480010986 15157.0 0.675000011921
4 59 114.38999939 -461.989990234 -488.540008545 14433.0 1.27499997616
5 45 237.779998779 -442.420013428 -247.449996948 13645.0 0.774999976158
5 48 237.779998779 -442.420013428 -298.510009766 13762.0 0.675000011921
5 52 237.779998779 -442.420013428 -366.589996338 14949.0 0.925000011921
5 54 237.779998779 -442.420013428 -400.640014648 14599.0 0.574999988079
6 52 361.0 -422.829986572 -368.540008545 13687.0 0.574999988079
6 54 361.0 -422.829986572 -402.589996338 14445.0 1.27499997616
8 48 -211.350006104 -404.480010986 -301.350006104 15387.0 0.774999976158
9 54 -88.0500030518 -384.299987793 -402.079986572 12958.0 1.82500004768
10 38 35.5400009155 -364.829986572 -132.050003052 14562.0 0.22499999404
10 42 35.5400009155 -364.829986572 -200.13999939 15818.0 0.975000023842
10 46 35.5400009155 -364.829986572 -268.220001221 14358.0 0.625
10 47 35.5400009155 -364.829986572 -285.239990234 12784.0 1.07500004768
10 50 35.5400009155 -364.829986572 -336.299987793 13139.0 4.82499992847
10 51 35.5400009155 -364.829986572 -353.320007324 13283.0 5.42500001192
10 52 35.5400009155 -364.829986572 -370.339996338 13157.0 2.30000007153
10 53 35.5400009155 -364.829986572 -387.359985352 13775.0 2.35000002384
10 54 35.5400009155 -364.829986572 -404.390014648 12892.0 2.30000007153
10 55 35.5400009155 -364.829986572 -421.410003662 14085.0 1.52499997616
10 56 35.5400009155 -364.829986572 -438.429992676 13540.0 1.47500002384
10 59 35.5400009155 -364.829986572 -489.489990234 13849.0 1.02499997616
11 39 158.940002441 -345.230010986 -146.949996948 13391.0 1.17499995232
11 41 158.940002441 -345.230010986 -181.0 14543.0 0.824999988079
11 42 158.940002441 -345.230010986 -198.020004272 13188.0 0.975000023842
11 44 158.940002441 -345.230010986 -232.059997559 13700.0 1.42499995232
11 45 158.940002441 -345.230010986 -249.080001831 13773.0 0.375
11 47 158.940002441 -345.230010986 -283.119995117 13141.0 0.574999988079
11 48 158.940002441 -345.230010986 -300.140014648 12566.0 2.25
11 49 158.940002441 -345.230010986 -317.160003662 12329.0 6.22500002384
11 50 158.940002441 -345.230010986 -334.179992676 12287.0 4.02499997616
11 51 158.940002441 -345.230010986 -351.200012207 12708.0 5.22499990463
11 52 158.940002441 -345.230010986 -368.220001221 12711.0 6.47500008345
11 53 158.940002441 -345.230010986 -385.239990234 12855.0 5.29999995232
11 54 158.940002441 -345.230010986 -402.269989014 13063.0 1.17499995232
11 56 158.940002441 -345.230010986 -436.309997559 12984.0 0.725000023842
11 58 158.940002441 -345.230010986 -470.350006104 13970.0 0.975000023842
11 59 158.940002441 -345.230010986 -487.369995117 12944.0 0.774999976158
11 60 158.940002441 -345.230010986 -504.390014648 14618.0 1.17499995232
12 39 282.179992676 -325.739990234 -148.339996338 12858.0 0.27500000596
12 41 282.179992676 -325.739990234 -182.38999939 16331.0 0.925000011921
12 43 282.179992676 -325.739990234 -216.429992676 14356.0 1.47500002384
12 46 282.179992676 -325.739990234 -267.489990234 12918.0 3.875
12 47 282.179992676 -325.739990234 -284.510009766 13385.0 1.34999996424
12 48 282.179992676 -325.739990234 -301.529998779 14237.0 0.975000023842
12 49 282.179992676 -325.739990234 -318.549987793 12670.0 6.6250000596
12 50 282.179992676 -325.739990234 -335.570007324 13553.0 1.125
12 51 282.179992676 -325.739990234 -352.589996338 12439.0 2.40000003576
12 52 282.179992676 -325.739990234 -369.609985352 12903.0 4.70000010729
12 53 282.179992676 -325.739990234 -386.630004883 14071.0 2.25
12 54 282.179992676 -325.739990234 -403.660003662 13127.0 1.57500004768
12 56 282.179992676 -325.739990234 -437.700012207 12899.0 0.875
12 59 282.179992676 -325.739990234 -488.760009766 13787.0 1.07500004768
13 41 405.829986572 -306.380004883 -185.699996948 13185.0 0.725000023842
13 45 405.829986572 -306.380004883 -253.779998779 13588.0 2.25
13 46 405.829986572 -306.380004883 -270.799987793 14629.0 1.52499997616
13 47 405.829986572 -306.380004883 -287.820007324 12786.0 0.824999988079
13 48 405.829986572 -306.380004883 -304.839996338 12611.0 1.89999997616
13 49 405.829986572 -306.380004883 -321.859985352 13292.0 2.52500003576
13 50 405.829986572 -306.380004883 -338.880004883 13047.0 1.19999998808
13 51 405.829986572 -306.380004883 -355.899993896 13331.0 1.125
13 52 405.829986572 -306.380004883 -372.920013428 13223.0 2.35000002384
13 53 405.829986572 -306.380004883 -389.940002441 12910.0 3.32500004768
13 55 405.829986572 -306.380004883 -423.989990234 13747.0 3.34999990463
13 58 405.829986572 -306.380004883 -475.049987793 13836.0 1.32500004768
13 59 405.829986572 -306.380004883 -492.070007324 14608.0 0.47499999404
13 60 405.829986572 -306.380004883 -509.089996338 15543.0 0.47499999404
15 53 -290.660003662 -307.380004883 -380.929992676 13537.0 0.875
16 44 -166.399993896 -287.790008545 -234.240005493 14037.0 1.07500004768
16 46 -166.399993896 -287.790008545 -268.279998779 13891.0 1.07500004768
16 47 -166.399993896 -287.790008545 -285.299987793 12933.0 2.57499998808
16 49 -166.399993896 -287.790008545 -319.339996338 12994.0 1.95000004768
16 50 -166.399993896 -287.790008545 -336.359985352 12764.0 0.625
16 52 -166.399993896 -287.790008545 -370.399993896 14455.0 0.324999988079
16 53 -166.399993896 -287.790008545 -387.290008545 12950.0 0.824999988079
16 57 -166.399993896 -287.790008545 -455.380004883 14590.0 1.07500004768
17 39 -43.2700004578 -267.519989014 -146.660003662 14274.0 0.27500000596
17 42 -43.2700004578 -267.519989014 -197.729995728 13105.0 0.425000011921
17 44 -43.2700004578 -267.519989014 -231.770004272 13161.0 1.15000000596
17 45 -43.2700004578 -267.519989014 -248.789993286 12728.0 1.07500004768
17 46 -43.2700004578 -267.519989014 -265.809997559 12629.0 1.55000001192
17 47 -43.2700004578 -267.519989014 -282.829986572 12524.0 5.19999992847
17 48 -43.2700004578 -267.519989014 -299.850006104 12336.0 3.625
17 49 -43.2700004578 -267.519989014 -316.869995117 12247.0 8.6250000596
17 50 -43.2700004578 -267.519989014 -333.890014648 12322.0 1.89999997616
17 51 -43.2700004578 -267.519989014 -350.910003662 12573.0 5.45000016689
17 52 -43.2700004578 -267.519989014 -367.929992676 12392.0 7.47500005364
17 53 -43.2700004578 -267.519989014 -384.950012207 12313.0 6.72500002384
17 54 -43.2700004578 -267.519989014 -401.980010986 12443.0 2.05000001192
17 55 -43.2700004578 -267.519989014 -419.0 12928.0 3.75
17 56 -43.2700004578 -267.519989014 -436.019989014 13114.0 3.02500003576
17 57 -43.2700004578 -267.519989014 -453.040008545 12786.0 0.774999976158
17 59 -43.2700004578 -267.519989014 -487.079986572 12845.0 0.47499999404
17 60 -43.2700004578 -267.519989014 -504.100006104 14515.0 1.40000003576
18 40 79.4100036621 -248.240005493 -164.899993896 13647.0 1.22500002384
18 41 79.4100036621 -248.240005493 -181.929992676 12414.0 3.94999998808
18 42 79.4100036621 -248.240005493 -198.949996948 12360.0 1.59999996424
18 43 79.4100036621 -248.240005493 -215.970001221 11680.0 5.22500002384
18 44 79.4100036621 -248.240005493 -232.990005493 12084.0 2.75
18 47 79.4100036621 -248.240005493 -284.049987793 11823.0 8.90000006557
18 48 79.4100036621 -248.240005493 -301.070007324 11700.0 16.1999999583
18 49 79.4100036621 -248.240005493 -318.089996338 11775.0 19.2749999166
18 50 79.4100036621 -248.240005493 -335.109985352 11592.0 21.1000000536
18 51 79.4100036621 -248.240005493 -352.130004883 11831.0 17.8499999046
18 52 79.4100036621 -248.240005493 -369.149993896 11942.0 21.3249998689
18 53 79.4100036621 -248.240005493 -386.170013428 11793.0 13.1750000715
18 54 79.4100036621 -248.240005493 -403.200012207 12114.0 6.67500001192
18 55 79.4100036621 -248.240005493 -420.220001221 12459.0 8.29999995232
18 56 79.4100036621 -248.240005493 -437.239990234 12148.0 4.07500001788
18 57 79.4100036621 -248.240005493 -454.260009766 13797.0 1.39999997616
18 58 79.4100036621 -248.240005493 -471.279998779 12469.0 3.77500002086
18 59 79.4100036621 -248.240005493 -488.299987793 13249.0 4.75
18 60 79.4100036621 -248.240005493 -505.320007324 12536.0 1.9999999404
19 38 210.470001221 -209.770004272 -132.820007324 12149.0 7.92499995232
19 39 210.470001221 -209.770004272 -149.839996338 12172.0 2.57500004768
19 40 210.470001221 -209.770004272 -166.86000061 11999.0 5.44999995828
19 41 210.470001221 -209.770004272 -183.88999939 11931.0 5.27500009537
19 42 210.470001221 -209.770004272 -200.910003662 11879.0 7.97499984503
19 43 210.470001221 -209.770004272 -217.929992676 11926.0 10.6500000358
19 44 210.470001221 -209.770004272 -234.949996948 11681.0 18.4000001848
19 45 210.470001221 -209.770004272 -251.970001221 11571.0 19.4250001311
19 46 210.470001221 -209.770004272 -268.989990234 11741.0 27.8750002682
19 47 210.470001221 -209.770004272 -286.010009766 11678.0 44.4999999553
19 48 210.470001221 -209.770004272 -303.029998779 11681.0 45.6000000238
19 49 210.470001221 -209.770004272 -320.049987793 11504.0 53.874999851
19 50 210.470001221 -209.770004272 -337.070007324 11567.0 47.4749999493
19 51 210.470001221 -209.770004272 -354.089996338 11836.0 46.9999995381
19 52 210.470001221 -209.770004272 -371.109985352 11600.0 41.675000295
19 53 210.470001221 -209.770004272 -388.130004883 11707.0 34.1000003815
19 54 210.470001221 -209.770004272 -405.160003662 12517.0 9.42499998212
19 55 210.470001221 -209.770004272 -422.179992676 12188.0 10.9999998808
19 56 210.470001221 -209.770004272 -439.200012207 12248.0 6.90000003576
19 57 210.470001221 -209.770004272 -456.220001221 12625.0 3.45000007749
19 58 210.470001221 -209.770004272 -473.239990234 12326.0 4.55000001192
